#chr - ID label start end color

# cell type IFM
chr - CD45          CD45          0 747545957 01
chr - CD4           CD4           0 747545957 02
chr - CD8           CD8           0 747545957 03
chr - CM_CD8        CM_CD8        0 747545957 04
chr - EM_CD8        EM_CD8        0 747545957 05
chr - L             L             0 747545957 07
chr - M             M             0 747545957 08
chr - mTreg         mTreg         0 747545957 09
chr - Naive_CD8     Naive_CD8     0 747545957 10
chr - nTreg         nTreg         0 747545957 11
chr - RAnR7n        RAnR7n        0 747545957 12
chr - RAnR7n_EM_CD8 RAnR7n_EM_CD8 0 747545957 13
chr - RAnR7p        RAnR7p        0 747545957 14
chr - RApR7n_EM_CD8 RApR7n_EM_CD8 0 747545957 16
chr - RApR7n        RApR7n        0 747545957 17
chr - RApR7p        RApR7p        0 747545957 18
chr - TEM           TEM           0 747545957 19

band CD45 chr02 chr02 0         243199373 white
band CD45 chr03 chr03 243199373 441221803 grey
band CD45 chr04 chr04 441221803 632376079 vlgrey
band CD45 chr13 chr13 632376079 747545957 black

band CD4 chr02 chr02 0         243199373 white
band CD4 chr03 chr03 243199373 441221803 grey
band CD4 chr04 chr04 441221803 632376079 vlgrey
band CD4 chr13 chr13 632376079 747545957 black

band CD8 chr02 chr02 0         243199373 white
band CD8 chr03 chr03 243199373 441221803 grey
band CD8 chr04 chr04 441221803 632376079 vlgrey
band CD8 chr13 chr13 632376079 747545957 black

band CM_CD8 chr02 chr02 0         243199373 white
band CM_CD8 chr03 chr03 243199373 441221803 grey
band CM_CD8 chr04 chr04 441221803 632376079 vlgrey
band CM_CD8 chr13 chr13 632376079 747545957 black

band EM_CD8 chr02 chr02 0         243199373 white
band EM_CD8 chr03 chr03 243199373 441221803 grey
band EM_CD8 chr04 chr04 441221803 632376079 vlgrey
band EM_CD8 chr13 chr13 632376079 747545957 black

band L chr02 chr02 0         243199373 white
band L chr03 chr03 243199373 441221803 grey
band L chr04 chr04 441221803 632376079 vlgrey
band L chr13 chr13 632376079 747545957 black

band M chr02 chr02 0         243199373 white
band M chr03 chr03 243199373 441221803 grey
band M chr04 chr04 441221803 632376079 vlgrey
band M chr13 chr13 632376079 747545957 black

band mTreg chr02 chr02 0         243199373 white
band mTreg chr03 chr03 243199373 441221803 grey
band mTreg chr04 chr04 441221803 632376079 vlgrey
band mTreg chr13 chr13 632376079 747545957 black

band Naive_CD8 chr02 chr02 0         243199373 white
band Naive_CD8 chr03 chr03 243199373 441221803 grey
band Naive_CD8 chr04 chr04 441221803 632376079 vlgrey
band Naive_CD8 chr13 chr13 632376079 747545957 black

band nTreg chr02 chr02 0         243199373 white
band nTreg chr03 chr03 243199373 441221803 grey
band nTreg chr04 chr04 441221803 632376079 vlgrey
band nTreg chr13 chr13 632376079 747545957 black

band RAnR7n chr02 chr02 0         243199373 white
band RAnR7n chr03 chr03 243199373 441221803 grey
band RAnR7n chr04 chr04 441221803 632376079 vlgrey
band RAnR7n chr13 chr13 632376079 747545957 black

band RAnR7n_EM_CD8 chr02 chr02 0         243199373 white
band RAnR7n_EM_CD8 chr03 chr03 243199373 441221803 grey
band RAnR7n_EM_CD8 chr04 chr04 441221803 632376079 vlgrey
band RAnR7n_EM_CD8 chr13 chr13 632376079 747545957 black

band RAnR7p chr02 chr02 0         243199373 white
band RAnR7p chr03 chr03 243199373 441221803 grey
band RAnR7p chr04 chr04 441221803 632376079 vlgrey
band RAnR7p chr13 chr13 632376079 747545957 black

band RApR7n_EM_CD8 chr02 chr02 0         243199373 white
band RApR7n_EM_CD8 chr03 chr03 243199373 441221803 grey
band RApR7n_EM_CD8 chr04 chr04 441221803 632376079 vlgrey
band RApR7n_EM_CD8 chr13 chr13 632376079 747545957 black

band RApR7n chr02 chr02 0         243199373 white
band RApR7n chr03 chr03 243199373 441221803 grey
band RApR7n chr04 chr04 441221803 632376079 vlgrey
band RApR7n chr13 chr13 632376079 747545957 black

band RApR7p chr02 chr02 0         243199373 white
band RApR7p chr03 chr03 243199373 441221803 grey
band RApR7p chr04 chr04 441221803 632376079 vlgrey
band RApR7p chr13 chr13 632376079 747545957 black

band TEM chr02 chr02 0         243199373 white
band TEM chr03 chr03 243199373 441221803 grey
band TEM chr04 chr04 441221803 632376079 vlgrey
band TEM chr13 chr13 632376079 747545957 black
